Date;Subject;Content;DetectedLabel;TrainLabel
2018-08-19 11:21:00;Application for an Internship in Summer 2022;Dear sir or madam, I hereby want to apply for the internship position posted on  Please find attached by application documents including my resume, application letter and additional documents as required by the job posting. I would be happy to introduce myself personally and look forward to your response. ;1;1
2018-08-19 11:22:00; Application for an Internship in Summer 2022;Dear Mr. Mayer, thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application. Thank you for your understanding. ;5;2
2018-08-23 08:33:00;Applicant for Internship;Dear Francis, We just received an application for the summer intern position in your department. Attached you can find his resume. After having a first look, the applicant looks to be well qualified. What do you think? ;3;3
2018-08-23 13:31:00; Applicant for Internship;Hi Jessica, seems like you forgot the attachment. I cannot see the applicant's resume. ;3;3
2018-08-23 16:07:00; Applicant for Internship;Hi Francis, that's right, so sorry for the inconvenience! Now it should be attached. Please let me know if the applicant is suited for your department. ;3;3
2018-08-24 08:31:00; Applicant for Internship;Hello Jessica, after having a first look, Mister Mayer seems qualified - we are looking for a graduate student in Mechanical Engineering. Do you know if the applicant has some programming skills as well? From his resume I cannot spot it and we would need someone to improve the performance of our toolchain which is written in Python. Could you maybe ask mister Mayer about that? Thank you and ;3;3
2018-08-24 14:03:00; Applicant for Internship;Hello Francis, I'll ask him and get back to you as soon as I know more. Jessica;3;3
2018-08-24 14:33:00;Question about your application;Dear Mister Mayer, Thank you a lot for you application and your waiting! While processing your application, a question appeared: Are you familiar with programming languages such as Python? The task which would be assigned to you during your internship would also involve the analysis and improvement of code. Please let me know about your coding skills. ;3;4
2018-08-24 16:07:00; Question about your application;Dear Ms Parker, actually, I am quite familiar with Python - I took several coding classes at university and I also did a previous internship where I was responsible for the Python codebase of a tool which was frequently used by my department. I am looking forward to hearing from you, James Mayer;4;4
2018-08-25 09:41:00; Question about your application;Dear Mister Mayer, thank you for the information, I will forward it and get back to you as soon as a decision has been made. ;7;4
2018-08-25 09:55:00;Python Skills Mister Mayer;Hello Francis, it seems that Mr Mayer who applied for the internship position in your department has comprehensive Python skills, he told me he was responsible for maintaining the codebase of a frequently used tool in his department and that he also took several courses at university. What do you think? ;3;3
2018-08-26 08:01:00; Python Skills Mister Mayer;Hi Jessica, That's fantastic! Mister Mayer seems to be perfectly suitable - we would be happy to have him as intern in our department. ;3;3
2018-08-26 09:30:00; Python Skills Mister Mayer;Alright, I will inform him and invite him to a personal meeting. Do you also want to attend the interview? Thanks, Jessica;3;3
2018-08-26 09:44:00; Python Skills Mister Mayer;I think it will not be necessary, thanks for asking! ;3;3
2018-08-26 10:30:00;Application for an Internship in Summer 2022;Dear Mister Mayer, thank you for your application and your waiting. We have screened your documents and we would like to meet you in person. For this reason, we would like to invite you to our headquarter in Sioux City on the 21st of May at 1pm. Please let us know if the date and time are suitable for you. We are looking forward to your reply and to seeing you in person. ;7;4
2018-08-26 10:44:00; Application for an Internship in Summer 2022;Dear Ms. Parker, thank you for your reply and for your kind invitation. The proposed date for a personal meeting works fine for me. I am looking forward to meeting you! ;7;4
2018-08-26 12:01:00;Invitation for Personal Meeting;Dear Mister Mayer, We are happy to hear that. My assistant will meet you at the lobby on the 21st of May at 1pm. Please find attached an .ical file for your electronic calendar. If you happen to have any prior questions, feel free to ask them anytime via email. ;6;4
2018-08-30 09:31:00;Work contract and start of work;"Dear Mister Mayer, it was a pleasure to meet you in person and we're happy to have you on board. As discussed yesterday, the first day of your work will be the 1st of April, please meet Mister Huber, the head of the Department ""Mechanical Engineering"" at 09:00 am at the lobby. Furthermore, I attached a digital copy of the mutually signed work contract for you. If you have any questions regarding your future work, please feel free to ask Mister Huber (f.huber@ziegler-cat.com). ";9;5
2019-08-11 13:44:00;Your Application at Ziegler-Cat;Dear Mister Young, Thank you a lot for your interest in our company! we received your application on LinkedIn and are currently screening your data. As soon, as this is done we will contact you again. In the meantime feel free to check out our website to stay up to date about our products and services: ;3;2
2019-08-13 11:44:00;Your Application at Ziegler-Cat;Dear Mister Young, After having screened your application, unfortunately we came to the conclusion that you are not suited for the position you applied for. Nevertheless, we wish to you all the best for your future career. ;2;6
2017-08-01 09:33:00;Application;"Dear sir or madam, I hereby want to apply for the position of ""Hardware Testing Engineer"" posted on your website. I think that my academic journey as well as my previous career stations qualify me well for the job. My resume, motivation letter and transcripts are attached. I am looking forward to hearing from you! ";1;1
2017-08-01 09:35:00;Your Application at Ziegler-Cat;Dear Ms. Bender, thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application. Thank you for your understanding. ;5;2
2017-08-10 16:33:00; Your Application at Ziegler-Cat;Dear Ms. Bender, thank you a lot for your application at Ziegler-Cat and your patience. During screening of your documents, we found that your transcript for you Bachelor's degree was missing. Please attach the digital transcript by replying to this message in order to allow for a swift processing of your application. Thank you and ;0;4
2017-08-11 09:20:00; Your Application at Ziegler Cat;Dear Ms Parker, please find attached the missing transcript. I want to apologize for any inconvenience and would be happy to introduce myself in person. ;1;4
2017-08-11 15:21:00; Your Application at Ziegler Cat;Dear Ms. Bender, thank you for the document. The assessment of your application can now be continued as all of the required documents are present. We will get in touch with you, when the screening is finished. Thank you and ;5;4
2017-08-12 08:03:00;Applicant for Hardware Testing Engineer;Dear Joachim, we have an applicant for the Hardware Testing Engineer position. The first impression is good and I would like to invite her for an interview. I attached her resume for you to check as well. Do you have time on the 21st of August at 09:00am to also take part in the interview? Thanks, Jessica;3;3
2017-08-12 11:11:00; Applicant for Hardware Testing Engineer;Hi Jessica, Miss Bender's profile looks good, I will happily take part in the interview. The proposed date is fine for me. ;3;3
2017-08-13 09:05:00;Invitation for Interview;Dear Ms. Bender, After having assessed your application documents, we would like to invite you to our headquarter to get to know you in person. The meeting would be scheduled for the 21st of August at 9:00am. Please let me know if that date and time work for you. ;7;4
2017-08-13 09:33:00; Invitation for Interview;Dear Ms. Hoeller, thank you for your consideration and the invitation for a personal meeting. The proposed date works well for me and I am looking forward to seeing you in person. ;7;4
2017-08-23 08:05:00;Work Contract;Dear Ms. Bender, It was a pleasure to meet you in person. We liked your performance at the interview and would be happy if you choose to work with us. Please find attached a draft for a working contract as discussed in the end of the interview. Please tell us if you agree on the conditions, we're happy to hearing from you. ;9;5
2017-08-25 08:55:00; Work Contract;Dear Ms Parker, thank you for your email and the offer to work with your company! As discussed in the interview, my salary expectations are higher than those outlined in your proposal, I added some comments in the attached PDF and I would be happy if the respective clauses in the contract could be adapted. ;9;5
2017-08-27 09:10:00; Work Contract;Dear Ms. Bender, thank you for you reply. For the salary level you asked for, I have to consult with the respective department. I will get back to you as soon as I can tell you more. ;5;3
2017-08-27 09:15:00;Inquiry regarding salary of applicant;Dear Mister Black, I am contacting you because of an applicant for the open position of Hardware Testing Engineer. We found a qualified candidate, however her salary expectations are more than 50% above what we offer. How much do you think we can pay maximum? I think without any overpayment it will be very difficult to find suitable candidates, the position has been open for more than five months. ;3;3
2017-08-28 07:55:00; Inquiry regarding salary of applicant;Dear Ms Parker, I am aware of the vacancy and also that we will need to pay more to find the best candidates. 50% however is exceeding our budget by far. The maximum surplus we can offer is +25%. ;3;3
2017-08-28 09:04:00; Inquiry regarding salary of applicant;Dear Mister Black, thank you for the information, I will forward it to the candidate. ;3;3
2017-08-28 09:30:00; Work Contract;Dear Ms. Bender, After consultations, we want to offer you a salary which lies in the middle between our proposal and the salary you asked for. Additionally, we can offer five more paid holidays per year. Please find the revised contract (the amendments you made have been included) in the attachment. If you agree, please sign the contract and send it back to me. ;9;5
2017-08-30 10:44:00; Work Contract;Dear Ms. Parker, thank you a lot for the revised version of the contract which works fine for me. Please find attached the signed document. ;5;5
2017-08-30 13:45:00; Work Contract;Dear Ms. Bender, we are happy to have you on board. As specified in the contract, your first day of work will be the 1st of April. Please feel free to ask any questions that might arise to your head of department, Mr. Joachim Gruber (j.gruber@ziegler-cat.com). He will meet you on the first day of your work at 08:30am at the lobby. ;9;5
2018-11-02 14:31:00;Application as a software engineer;Dear sir or madam, I would like to apply for the position as software engineer as outlined on your webpage. While I have a working experience of only one year, I want to stress that I was among the best students at university in all programming courses. Furthermore, I have been working as a freelance programmer for the past five years doing small and medium projects. I would be happy if you consider my application, the required documents are attached. ;1;1
2018-11-02 14:32:00; Application as a software engineer;Dear Mr. Lloyd, thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application. Thank you for your understanding. ;5;2
2018-11-04 08:05:00;Your Application at Ziegler-Cat;Dear Mister Lloyd, it seems like some of the required documents are missing in your application. I cannot see the resume and the transcripts of your university in your message. Please send them as soon as possible so that we can start screening your application. ;3;4
2018-11-04 08:55:00; Your Application at Ziegler-Cat;Dear Ms Parker, The transcripts and the resume can both be found in the respective folder in the ZIP-Archive I sent to you in the last mail. To be sure, I attached the ZIP-file again. ;1;4
2018-11-05 14:30:00; Your Application at Ziegler-Cat;Dear Mister Lloyd, sorry for any inconvenience, I could find the documents in the ZIP-Archive. We will start screening your application and get back to you soon. ;9;4
2018-11-06 09:08:00;Applicant Software Engineer;Dear Joseph, it looks like we have a promising candidate for the open position as Software Engineer in your department. Please find attached his details. What do you think? ;3;3
2018-11-06 16:01:00; Applicant Software Engineer;Dear Jessica, I think you confused our department of Software Testing with the Software Development department. We are currently not looking for people. ;3;3
2018-11-07 09:01:00; Applicant Software Engineer;Hello Joseph, so sorry, yes I confused your departments - I will forward it to the department head of the Software Development department. ;3;3
2018-11-07 09:05:00;Applicant Software Engineer;Dear Oscar, it looks like we have a promising candidate for the position as software engineer which is open in your department. I attached his resume to the email. What do you think? ;1;3
2018-11-08 13:12:00; Applicant Software Engineer;Hi Jessica, his profile looks promising. However I cannot see any information about his duration of professional experience. Do you know more? ;1;3
2018-11-08 15:21:00; Applicant Software Engineer;Hello Oscar, sorry for missing that out, in his email the applicant he stated that he has been working at a company as a software engineer for one year. ;1;3
2018-11-09 07:45:00; Applicant Software Engineer;Hello Jessica, unfortunately that is not enough - as outlined in the job posting we are looking for somebody who was at least five years of proven experience in software engineering. ;1;3
2018-11-09 11:31:00; Applicant Software Engineer;Hello Oscar, ok, the applicant told me also, that he has been working as a freelancer during the last five years. Does that also count for you? ;1;3
2018-11-09 12:31:00; Applicant Software Engineer;Hi Jessica, no we cannot count that as it will be difficult to assess the works the applicant did and also in which quality the code was delivered. ;1;3
2018-11-09 14:56:00; Applicant Software Engineer;Alright, I will tell the applicant that his experience is not sufficient. ;1;3
2018-11-10 08:04:00;Your Application at Ziegler-Cat;Dear Mister Lloyd, unfortunately your years of working experience are not fitting what we require for the position of Software Engineer. For this reason we unfortunately cannot consider your application for the named position. Nevertheless we wish you all the best for your future career! ;2;6
2018-01-16 17:41:00;Application as a Facility Manager;Dear sir or madam, I would like to apply as a facility manager at Ziegler Caterpillar. I have been working as a facility manager for the last 12 years and I think that I bring everything it takes to do a good job. Attached you find my motivation letter and resume. I look forward to hearing from you, Martin Hoffer;1;1
2018-01-16 17:43:00;Your Application at Ziegler-Cat;Dear Mr. Hoffer, thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application. Thank you for your understanding. ;5;2
2018-01-21 09:33:00;Application Facility Manager;Hello Thomas, I have an application as facility manager - his profile looks perfectly suitable for the open position at Builidng Management Department. Please find attached his resume. ;3;3
2018-01-21 13:45:00; Application Facility Manager;Hi Jessica, there seems to be a mistake - currently we are not looking for a Facility Manager..? ;3;3
2018-01-22 17:02:00; Application Facility Manager;Hi Thomas, how is that? We have posted the job advertisement on our website and are receiving applications for it. We posted the job advertisement on behalf of your deputy department manager. ;3;3
2018-01-23 14:23:00; Application Facility Manager;Hi Jessica, that's right - but we already have hired a Facility Manager last week. Your colleague, Miss Mueller was dealing with the process. ;3;3
2018-01-23 15:30:00;Facility manager - already hired?;Hi Sarah, I just forwarded an applicant for the position of facility manager to Thomas Hickey but he told me, they already hired somebody for the job last week. Do you know more? ;3;3
2018-01-23 15:45:00; Facility manager - already hired?;Hi Jessica, yes we found a suitable candidate already. I sent you an email with the information and asked you to close the job advertisement on our webpage.. ;3;3
2018-01-24 08:05:00; Facility manager - already hired?;Oh, I just read the email - i must have looked over it. So sorry! ;3;3
2018-01-24 09:01:00;Your Application at Ziegler-Cat;Dear Mister Hoffer, we are really sorry, there seems to have been a mistake on our side. We are currently not looking for a facility manager. The job advertisement on the webpage is old and should not have been there, we deleted it. Sorry again for any inconvenience! ;6;5
